# An edibble: 240 x 6
      participant  trial    unit    replication subtask interface
          <U(16)> <U(5)> <U(80)>       <U(240)>  <T(5)>    <T(5)>
            <chr>  <chr>   <chr>          <chr>   <chr>     <chr>
  1 participant01 trial1  unit01 replication001      S3        M5
  2 participant01 trial1  unit01 replication002      S3        M5
  3 participant01 trial1  unit01 replication003      S3        M5
  4 participant02 trial1  unit02 replication004      S5        M2
  5 participant02 trial1  unit02 replication005      S5        M2
  6 participant02 trial1  unit02 replication006      S5        M2
  7 participant03 trial1  unit03 replication007      S1        M4
  8 participant03 trial1  unit03 replication008      S1        M4
  9 participant03 trial1  unit03 replication009      S1        M4
 10 participant04 trial1  unit04 replication010      S2        M1
 11 participant04 trial1  unit04 replication011      S2        M1
 12 participant04 trial1  unit04 replication012      S2        M1
 13 participant05 trial1  unit05 replication013      S4        M3
 14 participant05 trial1  unit05 replication014      S4        M3
 15 participant05 trial1  unit05 replication015      S4        M3
 16 participant06 trial1  unit06 replication016      S2        M2
 17 participant06 trial1  unit06 replication017      S2        M2
 18 participant06 trial1  unit06 replication018      S2        M2
 19 participant07 trial1  unit07 replication019      S3        M4
 20 participant07 trial1  unit07 replication020      S3        M4
 21 participant07 trial1  unit07 replication021      S3        M4
 22 participant08 trial1  unit08 replication022      S5        M5
 23 participant08 trial1  unit08 replication023      S5        M5
 24 participant08 trial1  unit08 replication024      S5        M5
 25 participant09 trial1  unit09 replication025      S1        M1
 26 participant09 trial1  unit09 replication026      S1        M1
 27 participant09 trial1  unit09 replication027      S1        M1
 28 participant10 trial1  unit10 replication028      S4        M3
 29 participant10 trial1  unit10 replication029      S4        M3
 30 participant10 trial1  unit10 replication030      S4        M3
 31 participant11 trial1  unit11 replication031      S3        M5
 32 participant11 trial1  unit11 replication032      S3        M5
 33 participant11 trial1  unit11 replication033      S3        M5
 34 participant12 trial1  unit12 replication034      S1        M3
 35 participant12 trial1  unit12 replication035      S1        M3
 36 participant12 trial1  unit12 replication036      S1        M3
 37 participant13 trial1  unit13 replication037      S4        M1
 38 participant13 trial1  unit13 replication038      S4        M1
 39 participant13 trial1  unit13 replication039      S4        M1
 40 participant14 trial1  unit14 replication040      S2        M4
 41 participant14 trial1  unit14 replication041      S2        M4
 42 participant14 trial1  unit14 replication042      S2        M4
 43 participant15 trial1  unit15 replication043      S5        M2
 44 participant15 trial1  unit15 replication044      S5        M2
 45 participant15 trial1  unit15 replication045      S5        M2
 46 participant16 trial1  unit16 replication046      S1        M2
 47 participant16 trial1  unit16 replication047      S1        M2
 48 participant16 trial1  unit16 replication048      S1        M2
 49 participant01 trial2  unit17 replication049      S2        M1
 50 participant01 trial2  unit17 replication050      S2        M1
 51 participant01 trial2  unit17 replication051      S2        M1
 52 participant02 trial2  unit18 replication052      S4        M4
 53 participant02 trial2  unit18 replication053      S4        M4
 54 participant02 trial2  unit18 replication054      S4        M4
 55 participant03 trial2  unit19 replication055      S3        M3
 56 participant03 trial2  unit19 replication056      S3        M3
 57 participant03 trial2  unit19 replication057      S3        M3
 58 participant04 trial2  unit20 replication058      S5        M2
 59 participant04 trial2  unit20 replication059      S5        M2
 60 participant04 trial2  unit20 replication060      S5        M2
 61 participant05 trial2  unit21 replication061      S1        M5
 62 participant05 trial2  unit21 replication062      S1        M5
 63 participant05 trial2  unit21 replication063      S1        M5
 64 participant06 trial2  unit22 replication064      S5        M3
 65 participant06 trial2  unit22 replication065      S5        M3
 66 participant06 trial2  unit22 replication066      S5        M3
 67 participant07 trial2  unit23 replication067      S2        M1
 68 participant07 trial2  unit23 replication068      S2        M1
 69 participant07 trial2  unit23 replication069      S2        M1
 70 participant08 trial2  unit24 replication070      S1        M2
 71 participant08 trial2  unit24 replication071      S1        M2
 72 participant08 trial2  unit24 replication072      S1        M2
 73 participant09 trial2  unit25 replication073      S4        M5
 74 participant09 trial2  unit25 replication074      S4        M5
 75 participant09 trial2  unit25 replication075      S4        M5
 76 participant10 trial2  unit26 replication076      S3        M4
 77 participant10 trial2  unit26 replication077      S3        M4
 78 participant10 trial2  unit26 replication078      S3        M4
 79 participant11 trial2  unit27 replication079      S4        M1
 80 participant11 trial2  unit27 replication080      S4        M1
 81 participant11 trial2  unit27 replication081      S4        M1
 82 participant12 trial2  unit28 replication082      S2        M5
 83 participant12 trial2  unit28 replication083      S2        M5
 84 participant12 trial2  unit28 replication084      S2        M5
 85 participant13 trial2  unit29 replication085      S1        M4
 86 participant13 trial2  unit29 replication086      S1        M4
 87 participant13 trial2  unit29 replication087      S1        M4
