# An edibble: 7,200 x 6
       participant    block     trial      rep            input    page
           <U(12)> <U(144)>  <U(~1k)> <U(~7k)>          <T(12)> <T(10)>
             <chr>    <chr>     <chr>    <chr>            <chr>   <chr>
   1 participant01 block001 trial0001  rep0001 mouseringdouble1  page01
   2 participant01 block001 trial0001  rep0002 mouseringdouble1  page01
   3 participant01 block001 trial0001  rep0003 mouseringdouble1  page01
   4 participant01 block001 trial0001  rep0004 mouseringdouble1  page01
   5 participant01 block001 trial0001  rep0005 mouseringdouble1  page01
   6 participant01 block001 trial0002  rep0006 mouseringdouble1  page08
   7 participant01 block001 trial0002  rep0007 mouseringdouble1  page08
   8 participant01 block001 trial0002  rep0008 mouseringdouble1  page08
   9 participant01 block001 trial0002  rep0009 mouseringdouble1  page08
  10 participant01 block001 trial0002  rep0010 mouseringdouble1  page08
  11 participant01 block001 trial0003  rep0011 mouseringdouble1  page06
  12 participant01 block001 trial0003  rep0012 mouseringdouble1  page06
  13 participant01 block001 trial0003  rep0013 mouseringdouble1  page06
  14 participant01 block001 trial0003  rep0014 mouseringdouble1  page06
  15 participant01 block001 trial0003  rep0015 mouseringdouble1  page06
  16 participant01 block001 trial0004  rep0016 mouseringdouble1  page04
  17 participant01 block001 trial0004  rep0017 mouseringdouble1  page04
  18 participant01 block001 trial0004  rep0018 mouseringdouble1  page04
  19 participant01 block001 trial0004  rep0019 mouseringdouble1  page04
  20 participant01 block001 trial0004  rep0020 mouseringdouble1  page04
  21 participant01 block001 trial0005  rep0021 mouseringdouble1  page09
  22 participant01 block001 trial0005  rep0022 mouseringdouble1  page09
  23 participant01 block001 trial0005  rep0023 mouseringdouble1  page09
  24 participant01 block001 trial0005  rep0024 mouseringdouble1  page09
  25 participant01 block001 trial0005  rep0025 mouseringdouble1  page09
  26 participant01 block001 trial0006  rep0026 mouseringdouble1  page07
  27 participant01 block001 trial0006  rep0027 mouseringdouble1  page07
  28 participant01 block001 trial0006  rep0028 mouseringdouble1  page07
  29 participant01 block001 trial0006  rep0029 mouseringdouble1  page07
  30 participant01 block001 trial0006  rep0030 mouseringdouble1  page07
  31 participant01 block001 trial0007  rep0031 mouseringdouble1  page03
  32 participant01 block001 trial0007  rep0032 mouseringdouble1  page03
  33 participant01 block001 trial0007  rep0033 mouseringdouble1  page03
