# An edibble: 2,400 x 5
       participant   block    trial     selection       interface
           <U(12)> <U(60)> <U(240)>      <U(~2k)>          <T(4)>
             <chr>   <chr>    <chr>         <chr>           <chr>
   1 participant01 block01 trial001 selection0001 mouseringsingle
   2 participant01 block01 trial001 selection0002 mouseringsingle
   3 participant01 block01 trial001 selection0003 mouseringsingle
   4 participant01 block01 trial001 selection0004 mouseringsingle
   5 participant01 block01 trial001 selection0005 mouseringsingle
   6 participant01 block01 trial001 selection0006 mouseringsingle
   7 participant01 block01 trial001 selection0007 mouseringsingle
   8 participant01 block01 trial001 selection0008 mouseringsingle
   9 participant01 block01 trial001 selection0009 mouseringsingle
  10 participant01 block01 trial001 selection0010 mouseringsingle
  11 participant01 block01 trial002 selection0011        airmouse
  12 participant01 block01 trial002 selection0012        airmouse
  13 participant01 block01 trial002 selection0013        airmouse
  14 participant01 block01 trial002 selection0014        airmouse
  15 participant01 block01 trial002 selection0015        airmouse
  16 participant01 block01 trial002 selection0016        airmouse
  17 participant01 block01 trial002 selection0017        airmouse
  18 participant01 block01 trial002 selection0018        airmouse
  19 participant01 block01 trial002 selection0019        airmouse
  20 participant01 block01 trial002 selection0020        airmouse
  21 participant01 block01 trial003 selection0021        touchpad
  22 participant01 block01 trial003 selection0022        touchpad
  23 participant01 block01 trial003 selection0023        touchpad
  24 participant01 block01 trial003 selection0024        touchpad
  25 participant01 block01 trial003 selection0025        touchpad
  26 participant01 block01 trial003 selection0026        touchpad
  27 participant01 block01 trial003 selection0027        touchpad
  28 participant01 block01 trial003 selection0028        touchpad
  29 participant01 block01 trial003 selection0029        touchpad
  30 participant01 block01 trial003 selection0030        touchpad
  31 participant01 block01 trial004 selection0031 mouseringdouble
  32 participant01 block01 trial004 selection0032 mouseringdouble
  33 participant01 block01 trial004 selection0033 mouseringdouble
  34 participant01 block01 trial004 selection0034 mouseringdouble
  35 participant01 block01 trial004 selection0035 mouseringdouble
  36 participant01 block01 trial004 selection0036 mouseringdouble
  37 participant01 block01 trial004 selection0037 mouseringdouble
  38 participant01 block01 trial004 selection0038 mouseringdouble
  39 participant01 block01 trial004 selection0039 mouseringdouble
  40 participant01 block01 trial004 selection0040 mouseringdouble
  41 participant01 block02 trial005 selection0041        touchpad
  42 participant01 block02 trial005 selection0042        touchpad
  43 participant01 block02 trial005 selection0043        touchpad
  44 participant01 block02 trial005 selection0044        touchpad
  45 participant01 block02 trial005 selection0045        touchpad
  46 participant01 block02 trial005 selection0046        touchpad
  47 participant01 block02 trial005 selection0047        touchpad
  48 participant01 block02 trial005 selection0048        touchpad
  49 participant01 block02 trial005 selection0049        touchpad
  50 participant01 block02 trial005 selection0050        touchpad
  51 participant01 block02 trial006 selection0051        airmouse
  52 participant01 block02 trial006 selection0052        airmouse
  53 participant01 block02 trial006 selection0053        airmouse
  54 participant01 block02 trial006 selection0054        airmouse
  55 participant01 block02 trial006 selection0055        airmouse
  56 participant01 block02 trial006 selection0056        airmouse
  57 participant01 block02 trial006 selection0057        airmouse
  58 participant01 block02 trial006 selection0058        airmouse
  59 participant01 block02 trial006 selection0059        airmouse
  60 participant01 block02 trial006 selection0060        airmouse
  61 participant01 block02 trial007 selection0061 mouseringsingle
  62 participant01 block02 trial007 selection0062 mouseringsingle
  63 participant01 block02 trial007 selection0063 mouseringsingle
  64 participant01 block02 trial007 selection0064 mouseringsingle
  65 participant01 block02 trial007 selection0065 mouseringsingle
  66 participant01 block02 trial007 selection0066 mouseringsingle
  67 participant01 block02 trial007 selection0067 mouseringsingle
  68 participant01 block02 trial007 selection0068 mouseringsingle
  69 participant01 block02 trial007 selection0069 mouseringsingle
  70 participant01 block02 trial007 selection0070 mouseringsingle
  71 participant01 block02 trial008 selection0071 mouseringdouble
  72 participant01 block02 trial008 selection0072 mouseringdouble
  73 participant01 block02 trial008 selection0073 mouseringdouble
  74 participant01 block02 trial008 selection0074 mouseringdouble
  75 participant01 block02 trial008 selection0075 mouseringdouble
  76 participant01 block02 trial008 selection0076 mouseringdouble
  77 participant01 block02 trial008 selection0077 mouseringdouble
  78 participant01 block02 trial008 selection0078 mouseringdouble
  79 participant01 block02 trial008 selection0079 mouseringdouble
  80 participant01 block02 trial008 selection0080 mouseringdouble
  81 participant01 block03 trial009 selection0081 mouseringsingle
